State,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.04,11.41,11.65,11.87,12.07,12.78,12.07,12.23,11.95,11.58,11.9,11.66,11.68,11.65,11.12,10.8,10.28,9.91,9.5,9.31,9.03,9.33,9.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21.46,19.42,18.93,20.98,18.3,18.57,17.22,17.33,15.69,16.54,18.28,17.96,16.89,16.62,17.64,17.14,17.3,16.91,16.95,17.87,18.37,18.05,17.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.82,4.53,4.37,4.27,4.17,4.2,4,3.9,3.84,3.6,3.57,3.48,3.37,3.37,3.25,3.1,3.24,3.21,3.12,2.98,2.92,2.9,2.82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.27,5.97,5.92,5.82,5.56,5.68,5.72,5.38,5.22,4.76,4.83,4.64,4.62,4.53,4.28,4.15,4.22,4.19,4.07,3.84,3.67,3.77,3.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.3,9.46,9.28,9.55,8.62,8.51,8.32,8.28,8.35,7.88,8.34,8.44,7.78,7.74,7.84,7.56,7.86,7.73,7.85,7.1,6.86,6.76,6.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.82,7.53,7.51,7.36,7.33,7.26,7.23,7.12,7.13,6.87,6.85,7,7.08,6.94,6.86,6.49,6.75,6.76,6.4,6.23,6.13,6.23,6.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.78,7.26,7.34,7.07,6.97,7.07,7.07,6.78,6.63,6.52,6.68,6.69,6.47,6.51,6.34,6.13,6.23,6.22,5.73,5.72,5.69,5.76,5.57,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.91,7.97,7.92,7.47,7.66,7.61,7.44,7.33,7.53,7.44,7.51,7.17,6.97,7.16,7.02,6.65,6.82,7.01,6.63,6.45,6.24,6.53,6.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,13.79,13.38,14.13,14.14,12.97,13.29,13.11,12.9,12.31,12.37,12.2,11.16,11.14,11.49,11.39,11.13,10.93,11.04,10.81,10.64,10.53,10.8,10.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.59,12.84,12.94,13.09,11.33,11.74,11.21,11.37,11.38,11.48,11.63,11.38,10.85,9.98,9.74,9.45,9.58,9.37,8.96,9.12,9.31,9.36,9.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
